"parameter","hmc_mean","hmc_sd","vi_mean","vi_sd"
"beta[1]",7.82624805743333,0.0347412480483794,7.8546440123,0.00913206942317642
"beta[2]",0.30908459713,0.0364610567428233,0.33341359786,0.016411602983939
"beta[3]",0.176544533563167,0.048356077955256,0.207553676945,0.0218620858365602
"beta[4]",0.463876275923333,0.0318667918822788,0.501457427,0.0221867163748773
"beta[5]",0.481651237133333,0.0201409410336554,0.506774734215,0.0142155328062798
"beta[6]",0.304019275935,0.0184597788643863,0.331917394985,0.0124226833276982
"beta[7]",-0.105818984188,0.0110495992398828,-0.11910159135,0.0135866767859853
"beta[8]",-0.0745399612688333,0.0106671615556806,-0.066132031699,0.0109446317887678
"beta[9]",0.0328030918701612,0.0217849629101921,0.06454817238,0.0102124766114209
"beta[10]",-0.170161229738,0.0612328509543148,-0.14979638538028,0.0677301728658647
"phi",13.9425577503333,0.745696833622936,13.3836934325,0.708746702480346
